Repository Name,Number of Files,Number of Rust Files,Rust Files to Total Files,Total SLOC,Rust SLOC,Rust SLOC to Total SLOC,Languages Used,'Unique' Crates
printscottylabs-website,44,0,0.0,15665,0,0.0,"['', '.idx', '.html', '.pack', '.yml', '.css', '.png', '.rev', '.sample', '.lock']",[]
cmupy,38,0,0.0,1440,0,0.0,"['', '.idx', '.md', '.html', 'Python', '.txt', '.pack', '.rev', '.sample']",[]
cmurb,38,0,0.0,1081,0,0.0,"['', '.gemspec', '.idx', '.md', 'Ruby', '.pack', '.rev', '.sample']",[]
wdw,113,0,0.0,594353,0,0.0,"['', '.pptx', '.html', '.zip', '.yml', '.css', '.pdf', '.idx', '.svg', '.ai', '.png', '.gif', '.lock', '.scss', '.md', '.pack', '.sketch', '.rev', '.sample']",[]
tartanhacks-old,141,0,0.0,56909,0,0.0,"['', '.tsx', '.json', '.toml', '.css', '.idx', '.svg', 'JavaScript', '.png', 'TypeScript', '.lock', '.ttf', '.gif', '.scss', '.md', '.pack', '.otf', '.jpg', '.rev', '.sample', '.jpeg']",[]
dining-api,85,0,0.0,9104,0,0.0,"['', '.idx', '.json', 'JavaScript', '.md', '.html', '.yml', '.example', '.lockb', '.pack', '.rev', '.sample', 'TypeScript', '.lock']",[]
course-api,41,0,0.0,1990,0,0.0,"['', '.idx', '.md', '.in', 'Python', '.pack', '.rev', '.sample']",[]
blog,37,0,0.0,1388,0,0.0,"['', '.svg', '.idx', 'JavaScript', '.md', '.yml', '.pack', '.rev', '.sample']",[]
wdw-htmlcss,57,0,0.0,2032,0,0.0,"['', '.idx', '.html', '.md', '.css', '.pack', '.rev', '.sample']",[]
IntroToSwift,47,0,0.0,2123,0,0.0,"['', '.idx', '.scss', '.markdown', '.html', '.md', '.yml', '.pack', '.rev', '.sample']",[]
print-ios,126,0,0.0,54703,0,0.0,"['', '.storyboard', '.idx', '.json', 'Swift', '.plist', '.md', '.png', '.xcscheme', '.xcworkspacedata', '.pbxproj', '.pack', '.rev', '.sample', '.entitlements', '.lock', '.pdf']",[]
print-android,83,0,0.0,36680,0,0.0,"['', '.svg', '.idx', '.jar', '.json', '.pack', '.properties', '.pro', '.apk', '.bat', '.png', '.rev', '.gradle', '.sample', '.xml', 'Java']",[]
print,35,0,0.0,1442,0,0.0,"['', '.idx', '.md', '.html', '.css', '.pack', '.rev', '.sample', '.lock']",[]
HackerHelp,31,0,0.0,907,0,0.0,"['', '.idx', '.md', '.pack', '.rev', '.sample']",[]
storage-api,30,0,0.0,796,0,0.0,"['', '.idx', '.md', '.pack', '.rev', '.sample']",[]
HELPq,400,0,0.0,95272,0,0.0,"['', '.idx', '.json', '.scss', 'JavaScript', '.md', '.html', '.less', '.png', '.template', '.jpg', '.ico', '.css', '.pack', '.rev', '.sample']",[]
pausch-api,33,0,0.0,917,0,0.0,"['', '.idx', '.md', 'Python', '.pack', '.rev', '.sample']",[]
EmailAutomation,1444,0,0.0,204033,0,0.0,"['', '.coffee', '.json', '.html', '.yml', '.patch', '.css', '.example', '.idx', '.svg', 'JavaScript', '.txt', '.png', 'TypeScript', '.lock', '.env', '.xml', '.md', '.flow', '.opts', '.map', '.conf', '.pack', '.targ', '.def', '.license', '.el', '.jst', '.1', '.in', '.rev', '.sample', '.bak']",[]
ScottyLabs-Email-Automation,42,0,0.0,6542,0,0.0,"['', '.idx', '.md', '.html', '.jpg', 'Python', '.pack', '.rev', '.sample']",[]
go,38,0,0.0,6541,0,0.0,"['', '.idx', '.json', 'JavaScript', '.md', '.pack', '.rev', '.sample']",[]
TartanHacksRegistrationv2,210,0,0.0,191791,0,0.0,"['', '.tsx', '.json', '.html', '.pug', '.css', '.ico', '.woff', '.pdf', '.idx', '.svg', 'JavaScript', '.csv', '.txt', '.png', '.woff2', 'TypeScript', '.scss', '.config', '.md', '.pack', '.ini', '.jpg', '.rev', '.sample']",[]
api-website,65,0,0.0,28870,0,0.0,"['', '.svg', '.idx', '.json', 'JavaScript', '.md', '.html', '.png', '.pack', '.css', '.txt', '.ico', '.rev', '.sample']",[]
social-action-frontend,60,0,0.0,45796,0,0.0,"['', '.idx', '.json', 'JavaScript', '.html', '.md', '.pack', '.jpg', '.css', '.txt', '.png', '.rev', '.sample']",[]
social-action-backend,44149,0,0.0,3440825,0,0.0,"['', '.coffee', '.mjs', '.plist', '.toml', '.priv', '.workflow', '.idx', '.gypi', '.png', '.gif', '.flow', '.closure-compiler', '.md~', '.yaml', '.esprima', '.jpg', '.pegjs', '.icns', '.json', '.mdown', '.swf', '.snap', '.disabled', 'JavaScript', '.gz', '.docs', 'TypeScript', '.xml', '.markdown', '.pub', '.wmf', '.pack', '.apache2', '.targ', '.el', '.un~', '.whitelist', '.1', '.pem', '.json5', '.bsd', '.gyp', '.cjs', '.yml', '.patch', '.tgz', '.docx', '.ico', '.svg', '.node', '.txt', '.mit', '.strings', '.md', '.map', '.ls', '.def', '.ejs', '.cc', '.mem', '.jst', '.in', '.applescript', '.rev', '.html', '.out', '.bar', '.sh', '.css', '.nib', '.rtf', '.lock', '.log', '.bnf', '.exe', '.opts', '.webidl', '.conf', '.info', '.sample', '.bak']",[]
cmu_lost_and_found,50,0,0.0,9767,0,0.0,"['', '.svg', '.tsx', '.json', '.idx', '.png', '.md', 'JavaScript', '.pack', '.ico', '.rev', '.sample', 'TypeScript']",[]
shuttle-api,38,0,0.0,1357,0,0.0,"['', '.idx', '.json', 'JavaScript', '.md', '.pack', '.rev', '.sample']",[]
wdw-node,42,0,0.0,3897,0,0.0,"['', '.idx', '.json', 'JavaScript', '.md', '.pack', '.png', '.rev', '.sample']",[]
wdw-react,51,0,0.0,17962,0,0.0,"['', '.svg', '.idx', '.json', '.png', '.md', '.html', 'JavaScript', '.pack', '.css', '.txt', '.ico', '.rev', '.sample']",[]
